-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.024,  0.181
-183.800, 80.197, 0.028,  0.214
-183.799, 80.193, 0.124,  0.247
-183.797, 80.185, 0.279,  0.280
-183.795, 80.172, 0.383,  0.313
-183.792, 80.156, 0.492,  0.346
-183.787, 80.131, 0.775,  0.379
-183.782, 80.098, 1.011,  0.412
-183.776, 80.057, 1.222,  0.445
-183.769, 80.011, 1.411,  0.478
-183.763, 79.959, 1.574,  0.511
-183.757, 79.903, 1.706,  0.544
-183.751, 79.843, 1.805,  0.577
-183.746, 79.781, 1.871,  0.610
-183.741, 79.719, 1.906,  0.643
-183.736, 79.656, 1.910,  0.676
-183.732, 79.594, 1.899,  0.709
-183.727, 79.532, 1.880,  0.742
-183.723, 79.471, 1.857,  0.775
-183.720, 79.411, 1.832,  0.808
-183.716, 79.352, 1.807,  0.841
-183.712, 79.293, 1.785,  0.874
-183.709, 79.235, 1.767,  0.907
-183.705, 79.177, 1.752,  0.940
-183.702, 79.120, 1.743,  0.973
-183.698, 79.063, 1.738,  1.006
-183.695, 79.005, 1.737,  1.039
-183.693, 78.948, 1.738,  1.072
-183.692, 78.890, 1.743,  1.105
-183.690, 78.832, 1.745,  1.138
-183.689, 78.774, 1.751,  1.171
-183.686, 78.715, 1.760,  1.204
-183.684, 78.656, 1.770,  1.237
-183.681, 78.597, 1.782,  1.270
-183.679, 78.537, 1.795,  1.303
-183.676, 78.477, 1.808,  1.336
-183.673, 78.417, 1.821,  1.369
-183.670, 78.356, 1.833,  1.402
-183.666, 78.294, 1.844,  1.435
-183.663, 78.233, 1.854,  1.468
-183.659, 78.171, 1.863,  1.501
-183.656, 78.109, 1.870,  1.534
-183.652, 78.046, 1.876,  1.567
-183.649, 77.984, 1.882,  1.600
-183.647, 77.921, 1.884,  1.633
-183.646, 77.858, 1.889,  1.666
-183.644, 77.795, 1.893,  1.699
-183.642, 77.732, 1.898,  1.732
